,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
631,632,21.0,[Timestamp('2025-07-10 00:00:00')],1,2025-07-10,296,5,1,1,511,1.0
632,633,31.5,[Timestamp('2025-07-08 00:00:00')],1,2025-07-08,298,5,1,1,511,1.0
634,635,28.0,[Timestamp('2025-07-05 00:00:00')],1,2025-07-05,301,5,1,1,511,1.0
637,638,28.0,[Timestamp('2025-07-03 00:00:00')],1,2025-07-03,303,5,1,1,511,1.0
640,641,28.0,[Timestamp('2025-07-01 00:00:00')],1,2025-07-01,305,5,1,1,511,1.0
642,643,28.0,[Timestamp('2025-07-01 00:00:00')],1,2025-07-01,305,5,1,1,511,1.0
651,652,28.0,[Timestamp('2025-06-16 00:00:00')],1,2025-06-16,320,5,1,1,511,1.0
653,654,23.8,[Timestamp('2025-06-11 00:00:00')],1,2025-06-11,325,5,1,1,511,1.0
654,655,28.0,[Timestamp('2025-06-08 00:00:00')],1,2025-06-08,328,5,1,1,511,1.0
659,660,23.8,[Timestamp('2025-05-22 00:00:00')],1,2025-05-22,345,5,1,1,511,1.0
661,662,28.0,[Timestamp('2025-05-18 00:00:00')],1,2025-05-18,349,5,1,1,511,1.0
671,672,28.0,[Timestamp('2025-05-06 00:00:00')],1,2025-05-06,361,5,1,1,511,1.0
678,679,23.8,[Timestamp('2025-04-24 00:00:00')],1,2025-04-24,373,5,1,1,511,1.0
680,681,28.0,[Timestamp('2025-04-20 00:00:00')],1,2025-04-20,377,5,1,1,511,1.0
688,689,23.8,[Timestamp('2025-04-16 00:00:00')],1,2025-04-16,381,5,1,1,511,1.0
